,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
823,dave van den bergh,DAL,M,30,30,2446,3,11,35,14,0,0/0,0,3,0.11,8.6,3,8,3,0.4,13,20,1,2,0,40.0,2009,reg,0,210000,227000
824,dax mccarty,NSH,M,28,27,2340,3,6,32,13,0,0/0,0,3,0.12,9.4,3,3,3,0.23,29,49,0,3,0,40.62,2009,reg,0,55605,68105
825,colin clark,COL,M,16,16,1421,3,5,29,10,0,0/0,3,0,0.19,10.3,3,3,2,0.32,11,18,5,2,0,34.48,2009,reg,0,85000,90000
826,rodney wallace,DC ,D,28,25,2265,3,3,29,11,0,0/0,1,2,0.12,10.3,0,2,1,0.12,52,11,6,8,0,37.93,2009,reg,0,55000,104000
827,alan gordon,LA ,F,22,13,1175,3,3,41,15,0,0/0,1,2,0.23,7.3,2,0,3,0.23,38,28,12,5,1,36.59,2009,reg,1,79754.4,79754.4
828,fabian espindola,RSL,F,22,17,1511,3,3,45,20,0,0/0,2,1,0.18,6.7,2,3,0,0.18,37,20,21,3,1,44.44,2009,reg,1,42000,42000
830,darren huckerby,SJ ,M,14,13,1058,3,2,18,10,0,0/0,2,1,0.26,16.7,1,2,0,0.17,17,15,8,3,0,55.56,2009,reg,0,360000,385000
831,brad evans,SEA,D-M,27,25,2294,3,2,19,8,1,0/0,3,0,0.12,15.8,1,1,1,0.08,24,18,2,5,0,42.11,2009,reg,1,44550,44550
832,dane richards,NY ,M,27,20,1988,3,2,19,6,1,0/0,3,0,0.14,15.8,0,2,0,0.09,42,28,11,4,0,31.58,2009,reg,0,125000,136500
833,steven lenhart,CLB,F,26,10,1065,3,2,32,13,0,0/0,3,0,0.25,9.4,0,2,0,0.17,33,23,15,4,0,40.62,2009,reg,1,34000,36333.34
834,justin braun,CHV,F,15,14,1211,3,2,38,16,2,0/0,2,1,0.22,7.9,1,2,0,0.15,20,17,11,1,0,42.11,2009,reg,1,20100,20100
835,kyle beckerman,RSL,M,25,25,2218,3,2,39,17,0,0/0,2,1,0.12,7.7,2,2,0,0.08,42,22,3,10,0,43.59,2009,reg,1,160650,163150
836,jamison olave,RSL,D,25,24,2039,3,0,12,8,1,0/0,3,0,0.13,25.0,0,0,0,0.0,34,15,1,6,3,66.67,2009,reg,1,157500,172500
837,alecko eskandarian,CHV,F,10,5,462,3,0,12,6,1,0/0,2,1,0.58,25.0,0,0,0,0.0,14,4,3,3,0,50.0,2009,reg,0,135850,143391.25
838,peter lowry,CHI,M,9,8,659,3,0,13,8,0,0/0,2,1,0.41,23.1,0,0,0,0.0,7,3,0,1,0,61.54,2009,reg,1,20100,20100
839,drew moor,COL,D,29,29,2610,3,0,18,6,0,0/0,3,0,0.1,16.7,0,0,0,0.0,23,20,0,2,1,33.33,2009,reg,0,132000,149188.89
841,clint mathis,RSL,M,28,24,1926,2,7,31,11,0,0/0,2,0,0.09,6.5,1,6,1,0.33,23,10,1,5,1,35.48,2009,reg,1,115000,115000
842,mehdi ballouchy,COL,M,28,23,2148,2,7,34,11,1,1/1,1,1,0.08,5.9,2,4,3,0.29,28,33,10,5,0,32.35,2009,reg,0,100000,118000
843,andy williams,RSL,M,23,7,780,2,6,19,9,1,0/0,2,0,0.23,10.5,2,4,2,0.69,12,13,1,3,0,47.37,2009,reg,1,84000,84000
844,geoff cameron,HOU,D,29,29,2610,2,6,20,8,0,0/0,2,0,0.07,10.0,2,3,3,0.21,28,34,4,6,0,40.0,2009,reg,1,34650,34650
845,mike magee,LA ,M,23,19,1507,2,6,24,8,1,0/0,0,2,0.12,8.3,2,1,5,0.36,17,26,3,3,0,33.33,2009,reg,1,70000,72500
846,santino quaranta,DC ,M-F,22,19,1769,2,6,32,11,1,0/0,1,1,0.1,6.3,0,1,5,0.31,15,40,8,1,0,34.38,2009,reg,0,70000,72500
847,emmanuel ekpo,CLB,M,28,22,1936,2,6,38,8,0,0/0,1,1,0.09,5.3,3,4,2,0.28,32,24,7,6,1,21.05,2009,reg,1,125000,147250
849,bryan namoff,DC ,D,26,26,2326,2,4,10,5,2,0/0,1,1,0.08,20.0,1,2,2,0.15,19,18,1,3,0,50.0,2009,reg,0,100000,105000
851,eddie lewis,LA ,M,27,23,1903,2,4,27,14,0,0/0,1,1,0.09,7.4,2,0,4,0.19,22,29,3,4,2,51.85,2009,reg,1,160008,165722.29
853,david beckham,LA ,M,11,11,889,2,3,19,9,2,0/0,2,0,0.2,10.5,0,2,1,0.3,14,9,0,2,1,47.37,2009,reg,1,5500000.08,6500000.04
854,tyrone marshall,SEA,D,26,25,2166,2,2,10,4,0,0/0,0,2,0.08,20.0,1,1,1,0.08,23,12,0,5,2,40.0,2009,reg,1,157500,161250
855,kosuke kimura,COL,D,26,21,1932,2,2,11,3,1,0/0,2,0,0.09,18.2,0,1,1,0.09,11,15,2,3,0,27.27,2009,reg,0,52500,52500
856,wilman conde,CHI,D,19,18,1614,2,2,11,4,1,0/0,1,1,0.11,18.2,0,2,0,0.11,16,9,1,2,0,36.36,2009,reg,1,168000,188000
857,jacob peterson,COL,F,23,12,1131,2,2,24,9,1,0/0,2,0,0.16,8.3,1,2,0,0.16,3,6,2,0,0,37.5,2009,reg,0,100000,118750
858,jorge rojas,NY ,M,21,19,1515,2,2,36,14,1,0/0,2,0,0.12,5.6,0,1,1,0.12,18,18,1,1,1,38.89,2009,reg,0,120000,130000
859,adrian serioux,TOR,D,26,25,2235,2,1,8,5,0,0/0,0,2,0.08,25.0,0,1,0,0.04,42,23,0,6,1,62.5,2009,reg,0,119070,131570
860,ramon sanchez,SJ ,M,10,10,895,2,1,8,4,0,0/0,0,2,0.2,25.0,0,1,0,0.1,8,13,0,1,0,50.0,2009,reg,0,72000,82050
861,zoltan hercegfalvi,KC ,F,10,2,298,2,1,8,6,0,0/0,1,1,0.6,25.0,0,1,0,0.3,2,3,2,1,1,75.0,2009,reg,0,168000,168000
862,edgaras jankauskas,NE ,F,10,8,667,2,1,15,5,0,0/0,2,0,0.27,13.3,1,0,1,0.13,14,15,6,1,1,33.33,2009,reg,1,240000,240000
863,jim brennan,TOR,D,28,28,2478,2,1,17,5,1,0/0,1,1,0.07,11.8,1,1,0,0.04,22,6,5,8,0,29.41,2009,reg,0,185000,193250
864,jovan kirovski,LA ,M-F,22,13,1202,2,1,19,8,1,0/0,0,2,0.15,10.5,1,0,1,0.07,30,10,4,4,0,42.11,2009,reg,1,80000,80000
865,john wolyniec,NY ,F,20,8,764,2,1,21,8,0,0/0,2,0,0.24,9.5,0,1,0,0.12,16,9,5,2,0,38.1,2009,reg,0,80000,80000
866,pat noonan,CLB,F,22,11,1049,2,1,22,7,0,0/0,1,1,0.17,9.1,0,0,1,0.09,13,17,3,0,0,31.82,2009,reg,0,175008,175008
867,sainey nyassi,NE ,M,28,22,1940,2,1,28,14,0,0/0,1,1,0.09,7.1,0,1,0,0.05,17,23,5,1,0,50.0,2009,reg,1,34650,34650
868,andre rocha,DAL,M,22,14,1270,2,1,28,8,0,0/0,1,1,0.14,7.1,0,1,0,0.07,27,22,1,5,1,28.57,2009,reg,0,140000,140000
869,pablo vitti,TOR,F-M,26,18,1650,2,1,29,14,2,0/0,1,1,0.11,6.9,0,0,1,0.05,24,40,8,3,0,48.28,2009,reg,0,288000,303000
870,aaron hohlbein,KC ,D,22,22,1867,2,0,5,3,1,0/0,2,0,0.1,40.0,0,0,0,0.0,12,11,0,0,0,60.0,2009,reg,0,34650,34650
871,taylor twellman,NE ,F,2,0,109,2,0,5,4,0,0/0,2,0,1.65,40.0,0,0,0,0.0,1,3,1,0,0,80.0,2009,reg,0,395000,420000
872,roger levesque,SEA,M,14,2,260,2,0,7,4,1,0/0,0,2,0.69,28.6,0,0,0,0.0,3,2,0,1,0,57.14,2009,reg,1,40008,40008
873,obrian white,TOR,F,9,5,440,2,0,11,5,0,0/0,2,0,0.41,18.2,0,0,0,0.0,5,0,4,2,0,45.45,2009,reg,0,36000,113000
874,nick labrocca,COL,M,29,28,2434,2,0,34,17,1,0/0,2,0,0.07,5.9,0,0,0,0.0,28,17,1,3,0,50.0,2009,reg,0,70000,72500
876,robbie rogers,CLB,D,22,20,1709,1,5,37,13,0,0/0,0,1,0.05,2.7,4,2,3,0.26,24,41,4,2,0,35.14,2009,reg,1,92500,92500
877,gino padula,CLB,D,27,27,2321,1,4,10,1,1,0/0,0,1,0.04,10.0,1,3,1,0.16,12,18,1,4,1,10.0,2009,reg,1,150000,175000
879,sam cronin,TOR,M,27,26,2363,1,4,13,2,0,0/0,1,0,0.04,7.7,2,4,0,0.15,12,2,1,2,0,15.38,2009,reg,0,36000,84000
880,jay heaps,NE ,D,25,25,2170,1,4,19,11,1,0/0,1,0,0.04,5.3,0,3,1,0.17,12,21,2,5,0,57.89,2009,reg,1,120000,126000
881,dominic oduro,HOU,M,19,8,835,1,4,19,8,0,0/0,0,1,0.11,5.3,0,2,2,0.43,12,10,10,1,0,42.11,2009,reg,1,34650,34650
882,frankie hejduk,CLB,D,14,14,1258,1,3,8,5,0,0/0,1,0,0.07,12.5,1,3,0,0.21,9,13,3,5,0,62.5,2009,reg,1,150000,175000
883,pablo mastroeni,COL,M,25,25,2162,1,3,11,2,1,0/0,1,0,0.04,9.1,1,2,1,0.12,39,25,0,5,0,18.18,2009,reg,0,255000,300500
884,justin mapp,CHI,M,21,11,1013,1,3,16,4,0,0/0,0,1,0.09,6.3,1,2,1,0.27,3,17,2,3,0,25.0,2009,reg,1,220000,255000
885,osvaldo alonso,MIN,M,27,26,2207,1,3,22,7,0,0/0,1,0,0.04,4.5,2,3,0,0.12,35,31,0,5,0,31.82,2009,reg,1,65000,65000
887,will johnson,RSL,D,26,26,2305,1,3,48,22,0,1/1,1,0,0.04,2.1,1,3,0,0.12,26,28,2,8,0,45.83,2009,reg,1,51200,64771.43
888,eric avila,DAL,M,18,0,332,1,2,5,3,0,0/0,1,0,0.27,20.0,0,1,1,0.54,2,3,0,0,0,60.0,2009,reg,0,70000,103000
889,patrick ianni,SEA,D-M,17,10,1102,1,2,7,2,1,0/0,1,0,0.08,14.3,1,1,1,0.16,13,4,0,3,0,28.57,2009,reg,1,72000,72000
890,todd dunivant,LA ,D,25,24,2131,1,2,8,5,1,0/0,1,0,0.04,12.5,2,2,0,0.08,16,19,0,0,0,62.5,2009,reg,1,109974.38,109974.38
891,bojan stepanovic,CHV,M,16,7,756,1,2,9,4,0,0/0,0,1,0.12,11.1,1,1,1,0.24,13,6,0,3,0,44.44,2009,reg,1,120000,121750
892,andre hainault,HOU,D,20,19,1652,1,2,9,5,0,0/0,0,1,0.05,11.1,1,0,2,0.11,28,12,1,3,1,55.56,2009,reg,1,42000,55125
893,quincy amarikwa,SJ ,F,24,1,602,1,2,11,3,0,0/0,1,0,0.15,9.1,0,0,2,0.3,24,10,5,5,0,27.27,2009,reg,0,34000,34000
894,ugo ihemelu,COL,D,28,27,2443,1,2,13,5,1,0/0,1,0,0.04,7.7,1,1,1,0.07,39,27,1,9,1,38.46,2009,reg,0,140000,140000
895,wells thompson,NE ,D,25,17,1652,1,2,14,5,1,0/0,1,0,0.05,7.1,1,1,1,0.11,28,36,2,9,1,35.71,2009,reg,1,34650,34650
896,bobby convey,SJ ,M,26,25,2200,1,2,17,4,0,0/0,1,0,0.04,5.9,2,2,0,0.08,25,34,1,4,0,23.53,2009,reg,0,222000,244500
897,marc burch,DC ,D,26,25,2174,1,2,20,9,0,0/0,0,1,0.04,5.0,1,0,2,0.08,27,11,0,5,0,45.0,2009,reg,0,60000,62500
898,abdoulie mansally,NE ,D,25,19,1699,1,2,28,10,0,0/0,0,1,0.05,3.6,0,1,1,0.11,33,29,10,5,0,35.71,2009,reg,1,34650,34650
899,jeff larentowicz,ATL,M,28,28,2438,1,2,34,17,1,0/0,0,1,0.04,2.9,2,1,1,0.07,45,30,2,4,0,50.0,2009,reg,1,34650,34650
900,richard mulrooney,HOU,M,14,14,1260,1,1,3,3,1,0/0,0,1,0.07,33.3,0,0,1,0.07,5,14,0,1,0,100.0,2009,reg,1,165375,165375
901,aj delagarza,MIA,D,22,21,1754,1,1,3,2,0,0/0,1,0,0.05,33.3,1,0,1,0.05,14,32,0,2,0,66.67,2009,reg,1,36000,36000
902,gonzalo segares,CHI,D,12,12,965,1,1,6,3,0,0/0,0,1,0.09,16.7,0,0,1,0.09,13,15,2,4,0,50.0,2009,reg,1,61519.5,64019.5
905,ange nsilu,DC ,F,9,4,452,1,1,7,4,0,0/0,1,0,0.2,14.3,0,0,1,0.2,4,6,3,1,0,57.14,2009,reg,0,65004,76254
906,chukwudi chijindu,CHV,M,11,4,420,1,1,8,3,0,0/0,1,0,0.21,12.5,1,0,1,0.21,10,3,2,1,0,37.5,2009,reg,1,20100,20100
907,brandon mcdonald,SJ ,D,18,18,1579,1,1,8,4,0,0/0,0,1,0.06,12.5,0,1,0,0.06,14,8,1,3,0,50.0,2009,reg,0,20100,20100
908,michael lahoud,CHV,M,16,9,872,1,1,9,3,0,0/0,1,0,0.1,11.1,0,0,1,0.1,17,10,4,1,0,33.33,2009,reg,1,36000,45375
909,jimmy conrad,KC ,D,24,24,2160,1,1,11,4,1,0/0,1,0,0.04,9.1,0,1,0,0.04,23,16,1,2,0,36.36,2009,reg,0,213750,225000
910,eric brunner,CLB,D,25,23,2072,1,1,12,3,0,0/0,0,1,0.04,8.3,0,1,0,0.04,20,17,1,3,0,25.0,2009,reg,1,34008,34008
911,danleigh borman,NY ,D,24,14,1441,1,1,13,4,0,0/0,1,0,0.06,7.7,0,0,1,0.06,9,9,0,4,0,30.77,2009,reg,0,20100,20100
912,omar gonzalez,TOR,D,30,30,2672,1,1,13,4,0,0/0,1,0,0.03,7.7,1,1,0,0.03,29,19,0,5,0,30.77,2009,reg,1,65000,142000
913,santiago hirsig,KC ,M,26,24,2110,1,1,18,6,0,0/0,1,0,0.04,5.6,0,1,0,0.04,42,52,2,4,1,33.33,2009,reg,0,75000,75000
914,ben olsen,DC ,M,20,18,1371,1,1,20,9,0,0/0,1,0,0.07,5.0,0,1,0,0.07,36,35,1,7,1,45.0,2009,reg,0,225000,225000
915,maicon santos,CHV,F,10,8,670,1,1,23,10,1,0/0,1,0,0.13,4.3,0,1,0,0.13,5,9,8,3,0,43.48,2009,reg,1,84000,84000
916,ricardo clark,HOU,M,22,22,1972,1,1,27,10,0,0/0,1,0,0.05,3.7,0,1,0,0.05,24,28,1,4,1,37.04,2009,reg,1,248050,248050
917,raphael cox,RSL,M,6,2,208,1,0,1,1,0,0/0,0,1,0.43,100.0,0,0,0,0.0,1,2,0,0,0,100.0,2009,reg,1,20100,20100
918,michael holody,COL,D,4,0,80,1,0,1,1,0,0/0,0,1,1.13,100.0,0,0,0,0.0,2,0,0,2,0,100.0,2009,reg,0,20100,20100
919,dasan robinson,CHI,D,12,9,908,1,0,2,1,1,0/0,1,0,0.1,50.0,0,0,0,0.0,19,13,0,2,1,50.0,2009,reg,1,46856.25,46856.25
920,michael kraus,KC ,M-F,11,0,147,1,0,2,2,0,0/0,0,1,0.61,50.0,0,0,0,0.0,4,0,1,1,0,100.0,2009,reg,0,34000,34000
921,craig waibel,HOU,D,13,8,679,1,0,3,1,0,0/0,1,0,0.13,33.3,0,0,0,0.0,7,3,0,2,0,33.33,2009,reg,1,77008.8,77008.8
922,andy iro,CLB,D,11,8,631,1,0,4,1,0,0/0,0,1,0.14,25.0,0,0,0,0.0,12,4,0,1,1,25.0,2009,reg,1,45100,62600
923,julius james,DC ,D,17,13,1214,1,0,4,2,0,0/0,0,1,0.07,25.0,0,0,0,0.0,25,7,0,4,0,50.0,2009,reg,0,42350,51100
925,george john,DAL,D,16,15,1162,1,0,4,2,0,0/0,1,0,0.08,25.0,0,0,0,0.0,12,7,0,2,0,50.0,2009,reg,0,34008,34008
926,matthew mbuta,NY ,M,10,2,280,1,0,4,1,0,1/1,1,0,0.32,25.0,0,0,0,0.0,4,0,5,0,0,25.0,2009,reg,0,20100,20100
927,pablo ricchetti,DAL,D-M,22,22,1965,1,0,5,1,0,0/0,0,1,0.05,20.0,0,0,0,0.0,23,15,0,7,0,20.0,2009,reg,0,145200,151825
928,bryan jordan,LA ,D,19,2,470,1,0,7,3,0,0/0,0,1,0.19,14.3,0,0,0,0.0,10,13,1,2,0,42.86,2009,reg,1,34000,34000
929,abe thompson,HOU,F,9,1,203,1,0,7,3,1,0/0,0,1,0.44,14.3,0,0,0,0.0,5,2,0,0,0,42.86,2009,reg,1,60000,63625
931,julien baudet,COL,D,10,9,786,1,0,9,2,1,0/0,1,0,0.11,11.1,0,0,0,0.0,9,4,0,3,1,22.22,2009,reg,0,156000,169750
932,adam moffat,CLB,M,12,6,531,1,0,9,1,0,0/0,0,1,0.17,11.1,0,0,0,0.0,15,5,1,1,1,11.11,2009,reg,1,48000,48000
934,nat borchers,RSL,D,30,30,2679,1,0,12,6,0,0/0,0,1,0.03,8.3,0,0,0,0.0,26,10,1,5,0,50.0,2009,reg,1,130000,137500
935,ali gerba,TOR,F,11,5,534,1,0,15,3,0,0/0,0,1,0.17,6.7,0,0,0,0.0,8,4,11,1,0,20.0,2009,reg,0,144996,177433.5
937,chris leitch,SJ ,D,29,29,2537,0,7,4,3,0,0/0,0,0,0.0,0.0,2,4,3,0.25,21,15,0,3,0,75.0,2009,reg,0,87000,87000
938,marvell wynne,TOR,D,21,21,1890,0,5,6,2,0,0/0,0,0,0.0,0.0,1,3,2,0.24,14,16,1,1,0,33.33,2009,reg,0,57000,159500
939,shea salinas,SJ,M,23,13,1306,0,5,19,5,0,0/0,0,0,0.0,0.0,0,3,2,0.34,12,12,0,3,1,26.32,2009,reg,0,36300,36300
940,jack jewsbury,KC ,M,28,28,2451,0,5,35,13,0,0/0,0,0,0.0,0.0,2,1,4,0.18,34,34,2,6,0,37.14,2009,reg,0,130000,139125
941,james riley,SEA,D,28,27,2334,0,4,2,2,0,0/0,0,0,0.0,0.0,1,1,3,0.15,24,24,1,4,2,100.0,2009,reg,1,69000,72625
942,gerson mayen,SLV,M,12,5,428,0,4,2,1,0,0/0,0,0,0.0,0.0,1,3,1,0.84,5,1,0,0,0,50.0,2009,reg,1,20100,20100
943,brek shea,MIA,D,19,7,727,0,4,12,6,0,0/0,0,0,0.0,0.0,0,3,1,0.5,8,8,9,0,0,50.0,2009,reg,0,70000,103000
944,brian mullan,HOU,D,25,23,1988,0,4,22,8,0,0/0,0,0,0.0,0.0,0,2,2,0.18,38,40,5,2,0,36.36,2009,reg,1,171000,180312.5
946,corey ashe,HOU,M,27,13,1250,0,3,5,1,0,0/0,0,0,0.0,0.0,1,0,3,0.22,11,17,5,1,0,20.0,2009,reg,1,34650,34650
947,logan pause,CHI,M,26,26,2287,0,3,5,1,0,0/0,0,0,0.0,0.0,1,0,3,0.12,13,16,0,2,0,20.0,2009,reg,1,145000,153125
948,jordan harvey,LAFC,D,30,29,2613,0,3,8,3,0,0/0,0,0,0.0,0.0,0,1,2,0.1,26,18,4,1,0,37.5,2009,reg,0,50000,51250
949,chris wingert,RSL,D,30,27,2432,0,3,9,2,0,0/0,0,0,0.0,0.0,0,1,2,0.11,31,22,0,3,0,22.22,2009,reg,1,105000,105000
950,michael harrington,KC ,D,27,17,1682,0,3,9,6,0,0/0,0,0,0.0,0.0,0,1,2,0.16,19,17,1,4,0,66.67,2009,reg,0,64560,82060
951,ramiro corrales,SJ ,M,24,24,2066,0,3,15,5,0,0/0,0,0,0.0,0.0,1,1,2,0.13,29,38,2,7,0,33.33,2009,reg,0,190000,202500
952,tim ward,CHI,D,19,19,1685,0,3,16,3,0,0/0,0,0,0.0,0.0,1,1,2,0.16,9,13,1,4,0,18.75,2009,reg,1,45000,45000
953,chris klein,LA ,M,28,10,1158,0,3,16,10,0,0/0,0,0,0.0,0.0,1,2,1,0.23,10,4,3,2,0,62.5,2009,reg,1,175000,175000
954,herculez gomez,KC ,F,26,20,1569,0,3,40,15,0,0/0,0,0,0.0,0.0,0,1,2,0.17,25,31,2,3,0,37.5,2009,reg,0,54408.38,54408.38
955,ryan cochrane,HOU,D,8,6,549,0,2,0,0,0,0/0,0,0,0.0,0.0,0,0,2,0.33,10,4,0,1,0,,2009,reg,1,145000,146250
956,michael zaher,SJ ,D,10,8,757,0,2,1,1,0,0/0,0,0,0.0,0.0,0,2,0,0.24,4,4,0,1,0,100.0,2009,reg,0,20100,20100
957,peter vagenas,SEA,M,14,9,740,0,2,3,0,0,0/0,0,0,0.0,0.0,0,0,2,0.24,18,11,1,4,0,0.0,2009,reg,1,158400,158400
958,ned grabavoy,RSL,M,20,8,765,0,2,7,2,0,0/0,0,0,0.0,0.0,0,2,0,0.24,8,11,0,1,1,28.57,2009,reg,1,83600,83600
959,chris tierney,NE ,D-M,14,13,1044,0,2,7,4,0,0/0,0,0,0.0,0.0,1,1,1,0.17,8,2,0,0,0,57.14,2009,reg,1,34000,34000
960,thabiso khumalo,DC ,F,12,4,358,0,2,8,5,0,0/0,0,0,0.0,0.0,2,1,1,0.5,7,0,3,0,0,62.5,2009,reg,0,34650,34650
961,carl robinson,TOR,M,21,20,1757,0,2,9,3,0,0/0,0,0,0.0,0.0,0,0,2,0.1,27,15,0,6,0,33.33,2009,reg,0,300000,315000
962,roger espinoza,SKC,M,16,6,635,0,2,10,2,0,0/0,0,0,0.0,0.0,0,1,1,0.28,8,7,2,3,0,20.0,2009,reg,0,70000,103750
963,dema kovalenko,LA ,M,15,15,1237,0,2,11,2,0,0/0,0,0,0.0,0.0,0,1,1,0.15,19,11,1,2,1,18.18,2009,reg,1,130000,137618.75
964,robbie russell,RSL,D,19,18,1552,0,2,15,3,0,0/0,0,0,0.0,0.0,1,1,1,0.12,21,7,0,5,1,20.0,2009,reg,1,97583.5,103334.93
965,alex grendi,CLB,M,3,1,127,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.71,2,1,0,0,0,,2009,reg,1,20100,20100
966,kyle patterson,LA ,M,3,2,127,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.71,2,2,0,0,0,0.0,2009,reg,1,20100,20100
967,ante jazic,CHV,D,13,13,1090,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.08,11,5,0,2,0,0.0,2009,reg,1,90000,98500
968,jair benitez,DAL,D,13,13,1155,0,1,2,0,0,0/0,0,0,0.0,0.0,1,1,0,0.08,10,22,0,2,0,0.0,2009,reg,0,36000,36000
971,chance myers,KC ,D,6,0,165,0,1,3,1,0,0/0,0,0,0.0,0.0,0,0,1,0.55,4,1,0,1,1,33.33,2009,reg,0,70000,130000
972,mariano trujillo,CHV,D,21,18,1587,0,1,3,0,0,0/0,0,0,0.0,0.0,1,1,0,0.06,24,9,0,6,0,0.0,2009,reg,1,90000,90000
973,duncan oughton,CLB,D,9,2,218,0,1,3,2,0,0/0,0,0,0.0,0.0,0,1,0,0.41,3,5,1,0,0,66.67,2009,reg,1,42492,42492
974,danny orourke,CLB,D,26,26,2338,0,1,3,1,0,0/0,0,0,0.0,0.0,0,1,0,0.04,37,23,0,6,1,33.33,2009,reg,1,90000,102500
976,yamith cuesta,CHV,D,9,9,786,0,1,3,1,0,0/0,0,0,0.0,0.0,1,1,0,0.11,15,3,1,5,0,33.33,2009,reg,1,36000,36000
977,jeremy hall,NY ,D-M,24,22,2001,0,1,3,2,0,0/0,0,0,0.0,0.0,0,1,0,0.04,14,14,0,1,1,66.67,2009,reg,0,55000,104000
978,daniel hernandez,DAL,M,7,5,526,0,1,3,0,0,0/0,0,0,0.0,0.0,0,0,1,0.17,13,6,0,1,0,0.0,2009,reg,0,35352,42852
979,carlos johnson,NY ,D,13,12,899,0,1,4,1,0,0/0,0,0,0.0,0.0,1,1,0,0.1,15,16,0,3,3,25.0,2009,reg,0,90000,110750
980,jed zayner,CLB,D,20,16,1467,0,1,4,3,0,0/0,0,0,0.0,0.0,0,0,1,0.06,29,20,0,3,0,75.0,2009,reg,1,39930,47430
981,jamie smith,COL,M,4,3,216,0,1,4,1,0,0/0,0,0,0.0,0.0,0,0,1,0.42,2,1,0,0,0,25.0,2009,reg,0,159600,169600
982,sean franklin,LA ,D,13,13,1125,0,1,5,2,0,0/0,0,0,0.0,0.0,0,1,0,0.08,7,4,0,0,0,40.0,2009,reg,1,64350,76850
983,mauricio castro,NE ,M,6,3,223,0,1,5,2,0,0/0,0,0,0.0,0.0,0,1,0,0.4,5,3,0,0,0,40.0,2009,reg,1,120000,126250
984,marcelo saragosa,CHV,M,17,15,1272,0,1,5,2,0,0/0,0,0,0.0,0.0,0,1,0,0.07,33,19,0,5,2,40.0,2009,reg,1,120000,124285.71
985,jonathan bornstein,CHI,D,26,26,2340,0,1,6,2,0,0/0,0,0,0.0,0.0,1,0,1,0.04,15,23,1,1,0,33.33,2009,reg,1,90000,90000
986,brandon prideaux,CHI,D,19,16,1414,0,1,6,1,0,0/0,0,0,0.0,0.0,0,1,0,0.06,18,13,0,2,0,16.67,2009,reg,1,75600,75600
987,heath pearce,DAL,D,6,5,478,0,1,6,1,0,0/0,0,0,0.0,0.0,0,0,1,0.19,6,2,0,1,0,16.67,2009,reg,0,48000,57500
988,baggio husidic,CHI,M,10,5,449,0,1,6,1,0,0/0,0,0,0.0,0.0,0,0,1,0.2,1,6,0,0,0,16.67,2009,reg,1,55000,97000
989,graham zusi,SKC,M,13,5,524,0,1,6,2,0,0/0,0,0,0.0,0.0,0,1,0,0.17,5,5,1,0,0,33.33,2009,reg,0,34008,34008
990,sasha victorine,CHV,M,10,4,470,0,1,7,3,0,0/0,0,0,0.0,0.0,0,0,1,0.19,5,5,1,0,0,42.86,2009,reg,0,125000,135000
991,lance watson,KC ,D,20,19,1649,0,1,7,5,0,0/0,0,0,0.0,0.0,0,1,0,0.05,25,17,0,4,1,71.43,2009,reg,0,34000,34000
992,carey talley,CHV,D,27,27,2401,0,1,8,2,0,0/0,0,0,0.0,0.0,1,1,0,0.04,21,20,0,5,1,25.0,2009,reg,1,128256,128256
993,chris birchall,LA ,M,9,6,531,0,1,8,3,0,0/0,0,0,0.0,0.0,1,1,0,0.17,9,7,0,2,0,37.5,2009,reg,1,84000,97125
994,brian carroll,CLB,M,26,26,2293,0,1,9,1,0,0/0,0,0,0.0,0.0,0,1,0,0.04,16,11,0,5,0,11.11,2009,reg,1,133875,137625
995,jesse marsch,CHV,M,23,21,1853,0,1,11,6,0,0/0,0,0,0.0,0.0,1,1,0,0.05,27,28,0,4,1,54.55,2009,reg,1,165000,174375
996,kevin alston,NE ,D,26,26,2339,0,1,12,5,0,0/0,0,0,0.0,0.0,1,0,1,0.04,22,35,0,2,0,41.67,2009,reg,1,55000,104000
997,john thorrington,CHI,M,19,19,1574,0,1,14,3,0,0/0,0,0,0.0,0.0,0,0,1,0.06,28,34,1,6,2,21.43,2009,reg,1,63000,64875
998,sinisa ubiparipovic,NY ,F-M,23,13,1206,0,1,15,8,0,0/0,0,0,0.0,0.0,0,0,1,0.07,12,18,3,1,1,53.33,2009,reg,0,34650,34650
999,carlos mendes,NY ,D,12,11,868,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,5,0,1,0,,2009,reg,0,85000,88125
1000,taylor graham,SEA,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2009,reg,1,55000,55000
1001,john diraimondo,COL,M,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2009,reg,0,20100,20100
